,0,1,2,3,4,5,6,7
0,-0.0,0.377,0.377,0.377,0.662,0.562,0.662,0.693
1,0.693,0.662,0.662,0.562,0.662,0.693,0.562,0.562
2,0.662,0.562,0.662,0.693,0.377,0.693,0.377,0.562
3,0.693,0.693,0.693,0.662,0.377,0.662,0.562,0.662
4,0.662,0.662,0.562,0.662,0.693,0.662,0.693,0.693
5,0.662,0.562,0.662,0.562,0.662,0.562,0.562,0.693
6,0.662,0.693,0.662,0.693,0.662,0.562,0.377,0.662
7,0.562,0.662,0.662,0.562,0.662,0.693,0.662,0.562
8,0.662,0.662,0.662,0.693,0.662,0.662,0.562,0.693
9,0.662,0.662,0.562,0.562,0.693,0.562,0.562,0.693
10,0.662,0.377,0.693,0.562,0.662,0.662,0.693,0.662
11,0.693,0.562,0.693,0.662,0.662,0.662,0.562,0.693
12,0.662,0.662,0.562,0.662,0.693,0.662,0.562,0.693
13,0.693,0.662,0.662,0.662,0.662,0.662,0.662,0.562
14,0.662,0.662,0.662,0.562,0.662,0.562,0.562,0.377
15,0.693,0.693,0.693,0.562,0.662,0.662,0.662,0.662
16,0.562,0.662,0.562,0.662,0.562,0.662,0.562,0.693
